imdbId,Ratings,Popularity,User Reviews,Critic Reviews,Metascore
0114709,8.3,787.0,789,170,96.0
0113497,7.1,568.0,333,78,39.0
0113228,6.6,,71,26,46.0
0114885,6.0,,65,19,
0113041,6.1,,83,33,49.0
0113277,8.3,254.0,1.3K,205,76.0
0114319,6.3,4752.0,175,40,56.0
0112302,5.5,,33,12,
0114576,5.8,,149,69,
0113189,7.2,1733.0,568,98,65.0
0112346,6.8,,263,59,68.0
0112896,5.8,,178,47,
0112453,7.1,,125,24,
0113987,7.1,,185,54,66.0
0112760,5.7,4131.0,222,78,37.0
0112641,8.2,411.0,776,153,73.0
0114388,7.7,920.0,307,63,84.0
0113101,6.7,2893.0,216,54,
0112281,6.4,4002.0,231,49,43.0
0113845,5.7,,82,37,
0113161,6.9,3534.0,188,94,81.0
0112722,6.6,2780.0,206,64,54.0
0112401,6.3,,124,59,
0114168,6.6,3818.0,189,34,
0113627,7.5,1046.0,410,89,82.0
0114057,6.8,,55,25,
0114011,6.8,1872.0,146,21,50.0
0114117,7.7,,112,32,
0112682,7.5,,273,65,73.0
0115012,7.1,,40,29,77.0
0112792,6.5,4320.0,115,40,46.0
0114746,8.0,1322.0,772,212,75.0
0112431,6.9,2932.0,251,51,83.0
0112818,7.5,,247,64,80.0
0113442,5.9,4694.0,68,23,45.0
0112697,6.9,682.0,401,90,71.0
0112749,6.8,,29,10,71.0
0114279,7.3,,99,47,86.0
0112819,6.9,,115,44,
0114272,6.6,,57,19,66.0
0113855,5.8,2956.0,442,102,60.0
0114681,6.8,1028.0,206,73,86.0
0113347,6.3,,54,23,
0114369,8.6,248.0,1.9K,162,65.0
0114148,6.7,2033.0,303,85,59.0
0114916,6.5,,63,16,
0114814,8.5,366.0,1.5K,147,76.0
0113819,7.0,,110,56,60.0
0110299,7.4,,14,18,
0112499,5.5,,35,10,
0113158,6.5,,43,22,81.0
0113321,6.6,2096.0,123,41,57.0
0110877,7.8,,140,40,81.0
0113419,6.0,,62,26,58.0
0116260,6.2,,113,37,25.0
0113862,7.3,,194,39,59.0
0116126,6.5,3835.0,154,29,53.0
0118002,5.3,,39,14,30.0
0115683,4.4,3664.0,178,34,1.0
0116839,2.6,,78,59,29.0
0113149,6.4,,41,20,
0113118,7.2,1862.0,237,28,54.0
0116367,7.2,665.0,750,164,48.0
0113010,4.4,,71,52,13.0
0113537,6.7,,85,37,75.0
0113828,7.5,,43,13,
0115644,6.1,,51,26,
0115676,4.8,,32,8,
0114367,6.3,,169,62,
0113973,7.2,,15,11,
0112744,6.3,,84,35,46.0
0116731,5.7,,75,29,
0112445,7.6,,45,24,
0114660,6.7,,173,45,45.0
0112379,7.4,,85,23,
0114039,7.4,,9,7,
0112365,6.8,,63,28,
0118158,6.6,,105,26,53.0
0116151,5.3,,45,23,54.0
0115697,6.2,,95,21,34.0
0113972,6.3,,166,35,
0117002,5.8,,111,56,44.0
0114825,4.6,,87,40,27.0
0115639,7.1,,200,64,65.0
0115759,6.1,3142.0,242,68,61.0
0113403,7.2,,40,15,
0113247,8.1,1673.0,276,86,
0113283,6.6,,12,14,
0115907,6.2,,76,47,62.0
0115734,6.9,,228,78,67.0
0117102,3.8,,75,14,
0118040,6.0,,32,27,
0116483,7.0,93.0,395,76,31.0
0112579,7.6,4048.0,305,58,69.0
0110251,7.2,,7,8,
